letter,colour,english,français,italiano,deutsch
a,#adc5e7,7.86666666666667,8.56666666666667,11.7,5.96666666666667
b,#bce4e5,1.46666666666667,1.16666666666667,1.4,1.86666666666667
c,#bcaed5,2.33333333333333,2.9,4.8,3.36666666666667
d,#fffbcc,4.73333333333333,3.6,3.96666666666667,5.06666666666667
e,#fcd3c1,12.7,14.9333333333333,11.2666666666667,17.2333333333333
f,#e0efd4,1.96666666666667,1.23333333333333,1.23333333333333,1.7
g,#729fcf,2.2,1.26666666666667,1.9,2.83333333333333
h,#59c5c7,6.8,1.3,1.56666666666667,5.36666666666667
i,#826aaf,6.5,7.3,10.6,7.96666666666667
j,#fff685,0.166666666666667,0.6,0.033333333333333,0.333333333333333
k,#f68e76,1.06666666666667,0.1,0.066666666666667,1.33333333333333
l,#add58a,4.16666666666667,5.63333333333333,6.46666666666667,4
m,#1b75bc,2.13333333333333,3,2.93333333333333,2.8
n,#009598,6.46666666666667,7.03333333333333,6.66666666666667,10.5333333333333
o,#512480,7.76666666666667,5.66666666666667,8.86666666666667,2.5
p,#e3d200,1.56666666666667,3.13333333333333,2.76666666666667,0.633333333333333
q,#cf3834,0.133333333333333,1.1,0.566666666666667,0
r,#62a73b,5.66666666666667,6.83333333333333,6.33333333333333,6.86666666666667
s,#00508f,5.86666666666667,7.8,4.73333333333333,6.26666666666667
t,#006d6f,9.6,7.6,5.93333333333333,5.86666666666667
u,#390a5d,2.86666666666667,6.36666666666667,3.33333333333333,3.73333333333333
v,#a09600,0.766666666666667,1.73333333333333,1.9,0.633333333333333
w,#94070a,2.73333333333333,0.166666666666667,0.1,1.93333333333333
x,#407927,0.1,0.4,0.033333333333333,0
y,#0d1f63,2.3,0.4,0.133333333333333,0.1
z,#003c3d,0.1,0.166666666666667,0.766666666666667,1.06666666666667
